"train.auc.mean","train.auc.std","test.auc.mean","test.auc.std"
0.992901,0.000197,0.788448,0.001904
0.992929,0.000206,0.788454,0.00191
0.99296,0.000204,0.788458,0.001906
0.992995,0.000208,0.788466,0.001916
0.99303,0.000191,0.788458,0.001903
0.993062,0.000202,0.788471,0.001907
0.993098,0.0002,0.788483,0.001927
0.993142,0.000189,0.788493,0.001923
0.993166,0.000194,0.788499,0.001915
0.993205,0.000178,0.788505,0.001901
0.993229,0.00018,0.788502,0.001898
0.99326,0.0002,0.788508,0.001881
0.993279,0.000192,0.788523,0.00188
0.993309,0.000185,0.788532,0.001876
0.993345,0.000177,0.78854,0.001879
0.993376,0.000176,0.788541,0.001881
0.993406,0.000184,0.788548,0.001883
0.993424,0.00019,0.788556,0.001874
0.993457,0.000196,0.788553,0.001874
0.993487,0.000189,0.788562,0.001872
0.993521,0.000196,0.788565,0.001877
0.993562,0.000189,0.788583,0.001882
0.993591,0.000183,0.788601,0.001878
0.99362,0.000192,0.788601,0.001886
0.99364,0.000189,0.78861,0.001894
0.993669,0.000187,0.788612,0.001884
0.993706,0.000175,0.788607,0.001887
0.993759,0.000174,0.788627,0.00189
0.993786,0.00017,0.788635,0.001882
